"filename", "language", "YAML", "Markdown", "CMake", "C++", "Dart", "Swift", "JSON", "HTML", "XML", "Properties", "comment", "blank", "total"
"d:\course\projects\graduation project\civixapp\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8392, 0, 1, 54, 8447
"d:\course\projects\graduation project\civixapp\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\course\projects\graduation project\civixapp\analysis_options.yaml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 32
"d:\course\projects\graduation project\civixapp\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 97
"d:\course\projects\graduation project\civixapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\course\projects\graduation project\civixapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 2, 57
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\layout\custom_notification.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 7, 1, 22
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 1, 23
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 7, 1, 22
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\course\projects\graduation project\civixapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 1, 23
